Country/Region/World,Sex,Year,Mean BMI
World,Men,1975,21.65514025
World,Men,1976,21.72203755
World,Men,1977,21.78920773
World,Men,1978,21.85666869
World,Men,1979,21.92455475
World,Men,1980,21.9932762
World,Men,1981,22.06310821
World,Men,1982,22.13364944
World,Men,1983,22.20435707
World,Men,1984,22.27448986
World,Men,1985,22.34358266
World,Men,1986,22.41123988
World,Men,1987,22.47720967
World,Men,1988,22.54167462
World,Men,1989,22.60448084
World,Men,1990,22.66595437
World,Men,1991,22.7269234
World,Men,1992,22.78802145
World,Men,1993,22.84907911
World,Men,1994,22.90997637
World,Men,1995,22.97138253
World,Men,1996,23.03402176
World,Men,1997,23.09784442
World,Men,1998,23.16303144
World,Men,1999,23.22923883
World,Men,2000,23.2958214
World,Men,2001,23.36371603
World,Men,2002,23.4330786
World,Men,2003,23.50376756
World,Men,2004,23.57513022
World,Men,2005,23.64687639
World,Men,2006,23.71939565
World,Men,2007,23.79268418
World,Men,2008,23.86603299
World,Men,2009,23.93907763
World,Men,2010,24.01122392
World,Men,2011,24.08343708
World,Men,2012,24.15622262
World,Men,2013,24.23014558
World,Men,2014,24.30516288
World,Men,2015,24.38111049
World,Men,2016,24.45710486
World,Women,1975,22.07770185
World,Women,1976,22.14196196
World,Women,1977,22.2066395
World,Women,1978,22.27117916
World,Women,1979,22.33572498
World,Women,1980,22.4008728
World,Women,1981,22.46743324
World,Women,1982,22.53483171
World,Women,1983,22.60245339
World,Women,1984,22.66949893
World,Women,1985,22.73614058
World,Women,1986,22.80219624
World,Women,1987,22.8672192
World,Women,1988,22.93091084
World,Women,1989,22.99336085
World,Women,1990,23.05511522
World,Women,1991,23.11667156
World,Women,1992,23.17813613
World,Women,1993,23.23941335
World,Women,1994,23.30042609
World,Women,1995,23.36249296
World,Women,1996,23.42581873
World,Women,1997,23.49035378
World,Women,1998,23.55573541
World,Women,1999,23.62152901
World,Women,2000,23.68738105
World,Women,2001,23.75378979
World,Women,2002,23.82050755
World,Women,2003,23.88693711
World,Women,2004,23.95331362
World,Women,2005,24.01964219
World,Women,2006,24.08635587
World,Women,2007,24.1539215
World,Women,2008,24.22188058
World,Women,2009,24.28976462
World,Women,2010,24.35685524
World,Women,2011,24.42313581
World,Women,2012,24.48901588
World,Women,2013,24.55495319
World,Women,2014,24.62073632
World,Women,2015,24.68639585
World,Women,2016,24.7516059
