Country/Region/World,ISO,Sex,Year,Mean BMI,Mean BMI lower 95% uncertainty interval,Mean BMI upper 95% uncertainty interval,Prevalence of BMI>=30 kg/m² (obesity),Prevalence of BMI>=30 kg/m² lower 95% uncertainty interval,Prevalence of BMI>=30 kg/m² upper 95% uncertainty interval,Prevalence of BMI>=35 kg/m² (severe obesity),Prevalence of BMI>=35 kg/m² lower 95% uncertainty interval,Prevalence of BMI>=35 kg/m² upper 95% uncertainty interval,Prevalence of BMI<18.5 kg/m² (underweight),Prevalence of BMI<18.5 kg/m² lower 95% uncertainty interval,Prevalence of BMI<18.5 kg/m² upper 95% uncertainty interval,Prevalence of BMI 18.5 kg/m² to <20 kg/m²,Prevalence of BMI 18.5 kg/m² to <20 kg/m² lower 95% uncertainty interval,Prevalence of BMI 18.5 kg/m² to <20 kg/m² upper 95% uncertainty interval,Prevalence of BMI 20 kg/m² to <25 kg/m²,Prevalence of BMI 20 kg/m² to <25 kg/m² lower 95% uncertainty interval,Prevalence of BMI 20 kg/m² to <25 kg/m² upper 95% uncertainty interval,Prevalence of BMI 25 kg/m² to <30 kg/m²,Prevalence of BMI 25 kg/m² to <30 kg/m² lower 95% uncertainty interval,Prevalence of BMI 25 kg/m² to <30 kg/m² upper 95% uncertainty interval,Prevalence of BMI 30 kg/m² to <35 kg/m²,Prevalence of BMI 30 kg/m² to <35 kg/m² lower 95% uncertainty interval,Prevalence of BMI 30 kg/m² to <35 kg/m² upper 95% uncertainty interval,Prevalence of BMI 35 kg/m² to <40 kg/m²,Prevalence of BMI 35 kg/m² to <40 kg/m² lower 95% uncertainty interval,Prevalence of BMI 35 kg/m² to <40 kg/m² upper 95% uncertainty interval,Prevalence of BMI >=40 kg/m²(morbid obesity),Prevalence of BMI >=40 kg/m² lower 95% uncertainty interval,Prevalence of BMI >=40 kg/m² upper 95% uncertainty interval
India,IND,Men,1975,18.5102380850544,17.7543607097545,19.2507785796546,0.00174148659921817,0.00055116380870436,0.00402578854008614,3.45798956151152e-05,5.83274038853105e-06,0.000116983669158885,0.353376696249212,0.267078216209945,0.442070576203384,0.228012925716448,0.156923051639128,0.307315906921892,0.372404425930435,0.281684050858965,0.458903706144356,0.0444644656046872,0.0215059799411744,0.0744855019100818,0.00170690670360306,0.000523226620676995,0.00400006313404315,2.6919814066886e-05,3.10475728444274e-06,9.90155288603359e-05,7.66008154822913e-06,3.92018877078928e-07,4.129292574205e-05
India,IND,Men,1976,18.6243664418136,17.9306536848709,19.3073868093799,0.00186716587014144,0.000631481513499393,0.00414576867567071,3.82653491912217e-05,7.22307340772439e-06,0.000119589428627009,0.351109237746948,0.269350711072499,0.435707621003115,0.226474073903292,0.158582723971915,0.302139721896524,0.3745752150824,0.287496913123936,0.456965810260117,0.0459743074972184,0.0230842698400612,0.0754095546223381,0.00182890052095022,0.00059935074426184,0.00412739487185823,2.99042422235496e-05,3.92406746737351e-06,0.000104818930630503,8.36110696767211e-06,5.24201427953066e-07,4.26460486706862e-05
India,IND,Men,1977,18.7392664527335,18.0973614575653,19.3773384911819,0.00200505172859094,0.000715700818161384,0.00430645032180217,4.25267080607063e-05,8.95578315113023e-06,0.000125762248459614,0.348781985576007,0.270557739359612,0.430026941535659,0.224909708096029,0.160350080640187,0.296976611629897,0.376747617328271,0.293773076553893,0.455452330989451,0.0475556373711025,0.0248431791805578,0.0763858825988448,0.00196252502053023,0.000684228504211811,0.00425170922518577,3.33364540290313e-05,5.09225347011805e-06,0.000111759682631911,9.19025403167503e-06,7.08219682928959e-07,4.4745489984102e-05
India,IND,Men,1978,18.8548119116901,18.2501414923343,19.4571521137189,0.0021556421251571,0.000821233809323743,0.00448215888436336,4.74241699244726e-05,1.1072095582398e-05,0.000133536738332975,0.346396347893114,0.271735070640164,0.424113345139574,0.223327029447158,0.161764264888129,0.291687144036291,0.378915109868488,0.298543754297971,0.454740157671695,0.049205870766084,0.0265663776963856,0.0773983133750396,0.00210821795523262,0.00077501803535121,0.00445417845567367,3.72595273902303e-05,6.44289477607098e-06,0.000117707483450215,1.01646425342424e-05,9.12610112348151e-07,4.78077077425081e-05
India,IND,Men,1979,18.9699527481621,18.399944411355,19.540452179487,0.00232044208856755,0.000934564160446976,0.00465363476296785,5.30488177371604e-05,1.36387033373594e-05,0.000143731984040237,0.343977822762019,0.272464030425157,0.417783648025768,0.221708996825204,0.163125550000762,0.286619336204119,0.38106921561989,0.303624100991483,0.45344944787683,0.0509235228043204,0.0284431328751074,0.0781866800648204,0.00226739327083039,0.000882084688286683,0.00460394098318009,4.17466866789549e-05,8.08499594313667e-06,0.000125940202414863,1.13021310582055e-05,1.20368832630127e-06,5.01626842434925e-05
India,IND,Men,1980,19.084078886903,18.5466657100282,19.6276190674433,0.00250000044378847,0.00106740202864066,0.00482607966190016,5.95278170570177e-05,1.65491730545132e-05,0.000153487780001701,0.341520280863899,0.272889860435723,0.412153581263501,0.220060990132972,0.163943265053939,0.281456741258256,0.383210879268104,0.309364432389813,0.45250021028311,0.0527078493912369,0.0305004526873199,0.0791679146166613,0.00244047262673145,0.00101847387071361,0.00476914946642582,4.687751737168e-05,9.93257226880286e-06,0.000135558623191781,1.26502996853376e-05,1.53918347753179e-06,5.25116148376243e-05
India,IND,Men,1981,19.1956767701969,18.6711979823847,19.7167676675855,0.00269328300475711,0.00120915184943668,0.005055231504518,6.68464614991501e-05,2.01121573495629e-05,0.000166393632718356,0.339046099537911,0.273354216959146,0.406381255028191,0.218419181761439,0.164867252857293,0.276695387031777,0.385306426790517,0.314715884957305,0.451835149708505,0.0545350090053759,0.0326722622246763,0.0804515759946381,0.00262643654325796,0.00114666921894147,0.0049602527630358,5.26389359794494e-05,1.21051583293322e-05,0.000145484671777428,1.42075255197007e-05,1.94374669770519e-06,5.54142826730589e-05
India,IND,Men,1982,19.3040664974242,18.8072785310403,19.8060276091649,0.00290025792615513,0.00136877801427814,0.00527248128242987,7.51160889955163e-05,2.43838022236985e-05,0.000181992156021278,0.336543462325365,0.274264097859672,0.400770356016174,0.216777072009262,0.165444112033755,0.272912764558903,0.387372683940027,0.319721563578768,0.450713513548201,0.0564065238991918,0.0347486489076125,0.0816398074830264,0.00282514183715961,0.00129152270756685,0.00518992254588287,5.9109717607688e-05,1.48035108398583e-05,0.000157889667580622,1.60063713878283e-05,2.48389452774746e-06,5.84779450548034e-05
India,IND,Men,1983,19.4090811278475,18.9327352058634,19.8973288649324,0.00312160697864502,0.00153276846986855,0.00553912146808675,8.44472245278717e-05,2.89860648635138e-05,0.000197464748664016,0.33401600956517,0.27442483386229,0.395371450017226,0.215136727995043,0.166136060973567,0.268355872987759,0.389398907714292,0.324445477205434,0.45065087487206,0.0583267478468501,0.0367700617759342,0.0830998937457472,0.00303715975411715,0.0014447609811866,0.00545182104437643,6.63935436481217e-05,1.79903220693515e-05,0.000171295271223713,1.805368087975e-05,3.07595880872992e-06,6.17445570423333e-05
India,IND,Men,1984,19.5099775498657,19.0419355376539,19.9799879003773,0.00335778940807604,0.00170835260551997,0.0058066006127722,9.49713058490497e-05,3.47211712563262e-05,0.000214036373036921,0.331515890986249,0.274353824655847,0.390279173904387,0.213488656229147,0.166791852854427,0.264877334754169,0.391350042339842,0.329311802937185,0.450311543247361,0.0602876211366865,0.0388238282726332,0.0843881937362669,0.00326281810222699,0.00162052894089774,0.00568768366977047,7.45796991126183e-05,2.15264487038332e-05,0.000185935201788882,2.03916067364314e-05,3.80213278581961e-06,6.663536779721e-05
