Country/Region/World,ISO,Sex,Year,Mean BMI,Mean BMI lower 95% uncertainty interval,Mean BMI upper 95% uncertainty interval,Prevalence of BMI>=30 kg/m² (obesity),Prevalence of BMI>=30 kg/m² lower 95% uncertainty interval,Prevalence of BMI>=30 kg/m² upper 95% uncertainty interval,Prevalence of BMI>=35 kg/m² (severe obesity),Prevalence of BMI>=35 kg/m² lower 95% uncertainty interval,Prevalence of BMI>=35 kg/m² upper 95% uncertainty interval,Prevalence of BMI<18.5 kg/m² (underweight),Prevalence of BMI<18.5 kg/m² lower 95% uncertainty interval,Prevalence of BMI<18.5 kg/m² upper 95% uncertainty interval,Prevalence of BMI 18.5 kg/m² to <20 kg/m²,Prevalence of BMI 18.5 kg/m² to <20 kg/m² lower 95% uncertainty interval,Prevalence of BMI 18.5 kg/m² to <20 kg/m² upper 95% uncertainty interval,Prevalence of BMI 20 kg/m² to <25 kg/m²,Prevalence of BMI 20 kg/m² to <25 kg/m² lower 95% uncertainty interval,Prevalence of BMI 20 kg/m² to <25 kg/m² upper 95% uncertainty interval,Prevalence of BMI 25 kg/m² to <30 kg/m²,Prevalence of BMI 25 kg/m² to <30 kg/m² lower 95% uncertainty interval,Prevalence of BMI 25 kg/m² to <30 kg/m² upper 95% uncertainty interval,Prevalence of BMI 30 kg/m² to <35 kg/m²,Prevalence of BMI 30 kg/m² to <35 kg/m² lower 95% uncertainty interval,Prevalence of BMI 30 kg/m² to <35 kg/m² upper 95% uncertainty interval,Prevalence of BMI 35 kg/m² to <40 kg/m²,Prevalence of BMI 35 kg/m² to <40 kg/m² lower 95% uncertainty interval,Prevalence of BMI 35 kg/m² to <40 kg/m² upper 95% uncertainty interval,Prevalence of BMI >=40 kg/m²(morbid obesity),Prevalence of BMI >=40 kg/m² lower 95% uncertainty interval,Prevalence of BMI >=40 kg/m² upper 95% uncertainty interval
United Kingdom,GBR,Men,1975,24.1297113163906,23.0104633596241,25.2246075941067,0.0816554892377666,0.0497441641055039,0.119706789232301,0.00588611299906381,0.00223930870153037,0.0122141599061275,0.0186159601486693,0.00869566473953535,0.0342076993319674,0.052277180361492,0.0307937431667304,0.0823977103993313,0.476729910004053,0.403623561854703,0.549704088781873,0.370721460348019,0.298382351073368,0.443611868506271,0.0757693762387028,0.0444542071561113,0.11347494958892,0.00543776382421814,0.00189168470943455,0.011529773150966,0.000448349174845677,8.17751861511286e-05,0.00130306854546773
United Kingdom,GBR,Men,1976,24.1999955457762,23.1949605642838,25.1845165664301,0.0840762314426579,0.0532840877858082,0.119507316996506,0.00623721058910489,0.00254313293123026,0.0122172009013753,0.0179103139462519,0.00878932457939358,0.0317792897962396,0.0507405699082784,0.0307666851099753,0.0785166965544712,0.472597555530478,0.403259229676607,0.541589338086519,0.374675329272334,0.306720490061226,0.442912568090005,0.077839020853553,0.0475104277525901,0.113334962501417,0.00575012789705087,0.00218582317492763,0.011739495062762,0.000487082692054028,0.00010334453498086,0.00130729925282846
United Kingdom,GBR,Men,1977,24.2715652624424,23.3663188819117,25.1467638251288,0.0866169824413348,0.0564704574262522,0.120356521025006,0.00662259139968234,0.00287866489118043,0.0123220822517444,0.0172324299108457,0.00874750261535357,0.029560583734855,0.0492334812414895,0.0307746681770545,0.0745086291561818,0.468311874562915,0.403335696920876,0.534176452026323,0.378605231943415,0.314906571239396,0.442859714717822,0.0799943910416525,0.0504003673720806,0.113436761434584,0.0060908234068617,0.00246695818754137,0.0117609862945815,0.000531767992820636,0.00012924605696533,0.00136147411845938
United Kingdom,GBR,Men,1978,24.3449925560047,23.5508068967605,25.1234539352673,0.0892774603551082,0.0602941652756251,0.121297350550793,0.00704361217814155,0.00327812879586994,0.0126285511874636,0.0165808211188279,0.00876577029143912,0.0277228160489106,0.0477578894235317,0.0306348470754668,0.0706638567099254,0.463883467271558,0.402750857944582,0.526043217133402,0.382500361930974,0.32293645854376,0.442539749787122,0.0822338481769667,0.0535735794393258,0.113915698019251,0.00646073623209716,0.0027964809650064,0.0119120876669894,0.000582875946044387,0.000156991572462887,0.00141517257991012
United Kingdom,GBR,Men,1979,24.4215597834703,23.7159515027568,25.1250262620327,0.0920571939868289,0.064053703716461,0.122544573221478,0.00750378895782364,0.00369743798327234,0.0128749344322056,0.0159585757945501,0.00881344275836355,0.0258313810388461,0.0463169009934061,0.0306051363705997,0.0673259677926551,0.459342578144474,0.402309195152649,0.51800526278714,0.386324751180741,0.329679505571369,0.443076238228002,0.0845534050290053,0.0566936596210838,0.115131211942748,0.00686241089425049,0.00316877820855321,0.0121418401420949,0.000641378063573153,0.000194208654834524,0.00147726222862813
United Kingdom,GBR,Men,1980,24.5009015401127,23.8796550955802,25.1366138794768,0.0949639372724456,0.067727019267204,0.124141472062301,0.00800276207341197,0.00414467581650852,0.0132830585110581,0.0153620758485769,0.00871083291752321,0.0241479634193594,0.0449054333080091,0.0303596152935296,0.0640569503145551,0.454666141411659,0.401053863453485,0.509789743456295,0.390102412259309,0.33677985966466,0.443969428368927,0.0869611751990336,0.0599537569883459,0.115856211731203,0.00729496203521622,0.00358220977819974,0.0125106724446762,0.000707800038195751,0.000235058569678063,0.00153843065082214
United Kingdom,GBR,Men,1981,24.5818468089782,24.029039464191,25.1381774045071,0.0979194035080442,0.071476368980238,0.126318896094765,0.00853528929324845,0.00464882870346538,0.0137321149605596,0.0148050404207636,0.00870841431356439,0.0228581380155954,0.0435513293111743,0.0299444861614754,0.0612924735973046,0.449946738834628,0.398353351724484,0.502294284199651,0.39377748802539,0.343822594146573,0.444610822280264,0.0893841142147957,0.0630270666994589,0.117648463375401,0.00775334372844332,0.00399003673767631,0.0128758744710869,0.000781945564805125,0.0002809078200224,0.00161659973466004
United Kingdom,GBR,Men,1982,24.6654356868314,24.1688891600239,25.1564853255963,0.100941958849095,0.0752016037104273,0.128180688783589,0.00910382761821668,0.00516818609995045,0.0141674621726536,0.0142829423096733,0.00863521958382112,0.0217182736935334,0.0422446850538832,0.0294796236865859,0.0584255233405177,0.445197776158403,0.395944688072571,0.494694160405963,0.397332637728946,0.35029635913855,0.445037298188682,0.0918381312308784,0.0658448393642356,0.118916872496434,0.00823929597736042,0.00440536897837285,0.0132632945730553,0.000864531640856268,0.000334409067177634,0.00171616601512247
United Kingdom,GBR,Men,1983,24.7515426890208,24.3095617834448,25.1863296935576,0.104031451925117,0.0788562448610221,0.130567707092216,0.00971411086920025,0.00569800200035423,0.0148020737857293,0.0137913422564199,0.00858944132104701,0.0206737657757607,0.0409874968680415,0.0290728693892921,0.0558789552810504,0.440436909468826,0.393811304405591,0.487102700267467,0.400752799581596,0.355159643624636,0.446218415897673,0.0943173410559166,0.0693133639856781,0.120819926795326,0.00875738460418246,0.00487339072743304,0.0137479698166414,0.000956726265017792,0.000396089974241589,0.00184033653528195
United Kingdom,GBR,Men,1984,24.840441386994,24.4481676688239,25.2359780891773,0.107204967043386,0.0828490976694515,0.133216375894779,0.0103714489638465,0.00627603106497653,0.0154627467284282,0.0133344261754431,0.00848280865839967,0.0197131886656863,0.0397753787980661,0.0286704269929251,0.0533749557823309,0.435634228934529,0.391427368312734,0.479786860545975,0.404050999148576,0.360329182024634,0.447578334123801,0.0968335180795392,0.0725326498394652,0.12261835069966,0.00931206596831679,0.00533961439506547,0.0143700089310168,0.00105938299552972,0.000464158993000927,0.00197345782788631
