ZCTA,State,Pop_2010,Pop_2000,Pop_Density
1001,MA,16769,16576,1363
1002,MA,29049,36794,512
1003,MA,10372,0,10372
1005,MA,5079,5077,114
1007,MA,14649,13017,265
1008,MA,1263,1235,23
1009,MA,741,0,741
1010,MA,3609,3348,102
1011,MA,1370,2069,43
1012,MA,661,523,50
1013,MA,23188,23148,3681
1020,MA,29668,29174,2300
1022,MA,2451,2331,490
1026,MA,946,1031,39
1027,MA,17660,17489,431
1028,MA,15720,14137,1200
1029,MA,789,572,44
1030,MA,11669,11568,964
1031,MA,1308,1263,161
1032,MA,570,212,47
1033,MA,6227,6139,222
1034,MA,2021,1926,27
1035,MA,5250,4793,213
1036,MA,5109,5134,255
1037,MA,838,710,63
1038,MA,2545,2558,233
1039,MA,1336,1128,100
1040,MA,39880,39838,1749
1050,MA,2530,2404,64
1053,MA,1685,1452,324
1054,MA,1851,1444,80
1056,MA,21103,21172,746
1057,MA,8534,8257,188
1060,MA,15284,16274,1253
1062,MA,11150,11225,609
1063,MA,430,0,0
1066,MA,64,0,64
1068,MA,1902,1716,90
1069,MA,8469,9884,298
1070,MA,629,566,30
1071,MA,1596,1654,100
1072,MA,1478,1458,72
1073,MA,5792,5387,200
1074,MA,319,0,0
1075,MA,17527,17226,953
1077,MA,9502,8835,300
1079,MA,692,0,577
1080,MA,2334,2627,1167
1081,MA,1698,1641,116
1082,MA,10322,9961,197
1083,MA,2888,2285,181
1084,MA,176,147,19
1085,MA,41117,40729,673
1086,MA,687,0,0
1088,MA,670,612,129
1089,MA,28391,27899,1622
1092,MA,1394,1087,199
1093,MA,325,0,64
1094,MA,351,0,293
1095,MA,14319,13650,623
1096,MA,2217,2623,69
1097,MA,111,0,56
1098,MA,1101,1235,35
1103,MA,2479,2661,0
1104,MA,22865,22383,4314
1105,MA,12350,13138,8821
1106,MA,16021,15882,1635
1107,MA,11611,11333,5806
1108,MA,26688,25828,6672
1109,MA,30250,30655,5402
1118,MA,14071,14271,3518
1119,MA,14152,13329,3538
1128,MA,2631,2993,2392
1129,MA,7019,6931,2005
1151,MA,8698,8311,3345
1199,MA,0,0,0
1201,MA,46504,47623,838
1220,MA,8603,9442,344
1222,MA,829,853,244
1223,MA,2314,1715,32
1224,MA,182,0,0
1225,MA,3117,2768,121
1226,MA,6945,7865,262
1229,MA,95,0,95
1230,MA,8430,9157,90
1235,MA,2766,2536,59
1236,MA,1509,2135,302
1237,MA,2496,2450,40
1238,MA,6047,6416,168
1240,MA,4534,5170,208
1242,MA,476,114,0
1243,MA,334,0,18
1244,MA,151,0,60
1245,MA,985,956,34
1247,MA,16087,17043,303
1253,MA,731,692,39
1254,MA,972,1030,65
1255,MA,915,752,17
1256,MA,692,705,19
