"ZCTA","State","Primary_City","Primary_County","ZIP_Type","Latitude","Longitude","Land_Area","Water_Area","Pop_2010","Pop_2000","Pop_Density","Pop_Est_ACS","Pop_Est_MOE","Pop_Est_Factor","Pop_Est_Level","5_Year_Proj","5_Year_Proj_Factor","10_Year_Proj","10_Year_Proj_Factor","GC_Group_Qtrs","GC_Correctional","GC_Nursing_Home","GC_Other_Inst","GC_College","GC_Military","GC_Other_Non_Inst","Military","Veterans","Civilians","In_Preschool","In_Kinder","In_Elementary","In_High_School","In_College","Attained_No_High_School","Attained_Some_High_School","Attained_High_School_Graduate","Attained_Some_College","Attained_Associates","Attained_Bachelors","Attained_Graduate_Professional","HH_Total","HH_Size","HH_Est","HH_Est_MOE","HH_Avg_Income","HH_Avg_Income_MOE","HH_Med_Income","HH_Med_Income_MOE","HH_Earnings","HH_Earnings_Amt","HH_Retire","HH_Retire_Amt","HH_SS","HH_SS_Amt","HH_SSI","HH_SSI_Amt","HH_Cash_Assist","HH_Cash_Assist_Amt","HH_Food_Stamps","HH_0_10K","HH_10_15K","HH_15_25K","HH_25_35K","HH_35_50K","HH_50_75K","HH_75_100K","HH_100_150K","HH_150_200K","HH_200K_Up","Worker_Earnings","Worker_Earnings_M","Worker_Earnings_F","Family_Total","Family_Size","Family_Est","Family_Est_MOE","Family_Avg_Income","Family_Avg_Income_MOE","Family_Med_Income","Family_Med_Income_MOE","Per_Cap_Income","Per_Cap_Income_MOE","Poverty_Universe","Poverty_Est","Poverty_Est_MOE","Poor_0_17","Poor_18_64","Poor_65_Up","Median_Age","Median_Age_M","Median_Age_F","Males_Total","Males_0_4","Males_5_9","Males_10_14","Males_15_19","Males_20_24","Males_25_29","Males_30_34","Males_35_39","Males_40_44","Males_45_49","Males_50_54","Males_55_59","Males_60_64","Males_65_69","Males_70_74","Males_75_79","Males_80_84","Males_85_89","Males_90_Up","Females_Total","Females_0_4","Females_5_9","Females_10_14","Females_15_19","Females_20_24","Females_25_29","Females_30_34","Females_35_39","Females_40_44","Females_45_49","Females_50_54","Females_55_59","Females_60_64","Females_65_69","Females_70_74","Females_75_79","Females_80_84","Females_85_89","Females_90_Up","Under_18","18_Over","18_Over_Males","18_Over_Females","21_Over","62_Over","65_Over","65_Over_Males","65_Over_Females","85_Over","Est_Pop","Est_Males","Est_Females","Est_Median_Age","Est_0_4","Est_5_9","Est_10_14","Est_15_19","Est_20_24","Est_25_29","Est_30_34","Est_35_39","Est_40_44","Est_45_49","Est_50_54","Est_55_59","Est_60_64","Est_65_69","Est_70_74","Est_75_79","Est_80_84","Est_85_Up","Est_18_Up","Est_60_Up","Est_65_Up","White","White_Non_Hispanic","Black","Indian","Asian","Hawaiian","Asian_Indian","Chinese","Filipino","Japanese","Korean","Vietnamese","Other_Asian","Mexican","Puerto_Rican","Cuban","Other_Hispanic","Hispanic","Non_Hispanic","Other_Race","Multi_Race","Foreign_Pct","Businesses","HU_Total","HU_Occupied","HU_Owner_Occ","HU_Renter_Occ","HU_Vacant","HU_Vacant_Sale","HU_Vacant_Rent","HU_Vacant_Seasonal","HU_Mobile","HU_Single","HU_Single_Detached","HU_Single_Attached","HU_Duplexes","HU_3_4_Units","HU_5_9_Units","HU_10_19_Units","HU_20_Units_Up","HU_Util_Gas","HU_LP_Gas","HU_Electric","HU_Oil","HU_Coal","HU_Wood","HU_Solar","HU_Other","HU_2010_Up","HU_2010_Up_MOE","HU_2000_2009","HU_2000_2009_MOE","HU_1990_1999","HU_1990_1999_MOE","HU_1980_1989","HU_1980_1989_MOE","HU_1970_1979","HU_1970_1979_MOE","HU_1960_1969","HU_1960_1969_MOE","HU_1950_1959","HU_1950_1959_MOE","HU_1940_1949","HU_1940_1949_MOE","HU_Before_1940","HU_Before_1940_MOE","HU_Avg_Rent","HU_Avg_Rent_MOE","HU_Med_Rent","HU_Med_Rent_MOE","HU_Avg_Home_Value","HU_Avg_Home_Value_MOE","HU_Med_Home_Value","HU_Med_Home_Value_MOE","HU_Home_Value_50K","HU_Home_Value_50_99K","HU_Home_Value_100_149K","HU_Home_Value_150_199K","HU_Home_Value_200_299K","HU_Home_Value_300_499K","HU_Home_Value_500_999K","HU_Home_Value_1M_Up","HU_Home_Value_2M_Up","HU_Mort","HU_Med_Mort_Costs","HU_Mort_Costs_30","HU_No_Mort","HU_Med_No_Mort_Costs","HU_No_Mort_Cost_30"
1001,"MA","Agawam","Hampden","",42.069809,-72.619921,11,1.3,16769,16576,1363,17537,608,1.0146,"City",17066,1.0177,17153,1.0229,674,0,669,0,0,0,5,16,1375,14085,282,150,1355,836,1042,286,881,3779,3152,1245,2397,1618,7215,2.23,7460,294,74096,4946,57694,5131,5281,81123,1466,20866,2950,18690,434,9650,199,7293,663,402,300,922,482,986,1539,825,1326,440,238,39059,57748,45691,4177,2.91,4050,284,92424,5414,80321,12238,33135,2547,16793,1557,382,328,959,270,45.5,43,47.7,7845,387,414,473,460,425,463,465,505,552,616,651,563,514,381,239,264,203,164,106,8924,386,382,475,453,395,516,455,474,570,682,662,634,610,470,362,363,382,365,288,3098,13671,6287,7384,13169,4249,3587,1357,2230,923,17537,8211,9326,45.8,845,832,945,778,779,788,1261,1159,1151,1163,1501,1337,930,886,1095,707,545,835,14302,4998,4068,15704,15366,310,28,357,0,96,59,28,8,72,29,62,33,407,10,110,560,16209,141,229,8.3,439,7721,7460,5356,2104,261,0,107,0,74,4915,4233,682,372,322,872,456,710,4500,75,1404,1256,0,115,0,66,81,53,263,97,659,166,1233,251,1500,270,780,183,1362,277,678,205,1165,231,1163,165,1034,68,229859,10340,209400,9480,153,106,635,1535,1973,820,95,32,7,3548,1516,1070,1808,610,314
1002,"MA","Amherst","Hampshire","",42.376584,-72.500397,55,1.7,29049,36794,512,30280,475,1.0445,"City",30894,1.0635,31178,1.0733,4880,0,118,5,4599,0,158,0,853,26179,410,169,1779,1061,12699,352,281,1684,1484,745,3405,5836,9910,2.44,9976,407,80304,3534,52379,4504,7965,78175,1566,45426,2279,17206,287,10613,216,3929,716,1302,523,1001,898,1047,1206,1106,1314,787,792,11973,63831,44731,4931,2.87,4987,320,117078,4929,96875,10380,27657,1559,25054,7851,811,776,6879,196,24,23.6,24.8,13950,472,548,646,1702,4166,955,591,457,525,587,678,727,624,407,285,240,182,114,44,15099,425,511,594,2206,3863,836,577,531,639,702,834,857,747,469,359,312,270,223,144,4050,24999,11865,13134,20102,3819,3049,1272,1777,525,30280,14881,15399,23.6,902,1089,1108,4147,9247,1975,1342,1028,1043,935,1410,1336,1365,1070,789,558,446,490,26428,4718,3353,22597,21439,1444,79,2971,12,628,1074,58,131,508,113,400,290,810,114,1069,2283,26766,729,1217,16.6,572,10927,9976,4687,5289,951,48,72,209,17,5541,4978,563,985,807,1142,1322,1113,2860,691,2931,3018,0,293,25,79,137,85,594,168,1345,273,1722,295,1901,302,1578,306,916,179,246,104,2488,305,1307,33,1278,78,364009,17431,344600,12538,82,0,80,202,1363,2192,723,41,4,2728,2222,893,1959,905,339
1003,"MA","Amherst","Hampshire","",42.389941,-72.524108,1,0,10372,0,10372,11131,475,1.0445,"City",11031,1.0635,11132,1.0733,10356,0,0,0,10353,0,3,0,1,11132,0,0,0,0,11084,0,26,13,68,0,14,15,5,3.2,31,31,0,0,2499,0,13,0,0,0,0,0,0,0,0,0,8,18,8,0,0,0,0,5,0,0,0,3941,20139,11905,2,3.5,5,7,0,0,0,0,4370,405,76,57,58,0,57,0,20.2,20.2,20.1,5325,0,0,1,2297,2895,101,12,7,2,2,6,2,0,0,0,0,0,0,0,5047,0,1,1,2441,2538,47,11,3,2,2,1,0,0,0,0,0,0,0,0,10,10362,5322,5040,2750,0,0,0,0,0,11131,5686,5445,19.9,0,0,0,5800,5195,89,0,2,0,0,0,31,8,5,0,1,0,0,11061,14,6,7979,7739,630,15,1195,1,163,588,32,24,109,96,131,48,161,31,289,529,9843,180,372,12.2,15,43,31,5,26,12,0,12,0,0,13,8,5,0,0,12,18,0,31,0,0,0,0,0,0,0,0,27,12,18,0,19,0,19,18,27,0,19,8,13,0,19,5,7,0,33,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0
1005,"MA","Barre","Worcester","",42.410455,-72.107496,44,.5,5079,5077,114,5014,269,1.0359,"City",5379,1.0591,5504,1.0837,105,83,0,0,0,0,22,0,359,3944,23,37,545,363,308,0,123,1270,641,382,547,535,1904,2.61,1785,196,95958,10781,70325,10858,1439,99299,381,25213,721,18879,41,4776,43,0,117,32,46,132,137,264,338,183,307,196,150,33956,61328,51286,1335,3.09,1098,143,120235,22792,102959,14503,35334,4825,4889,307,176,64,228,15,41,40,41.7,2570,136,150,217,265,133,124,114,147,184,212,229,196,171,107,63,54,33,23,12,2509,124,157,176,198,117,122,107,178,203,213,238,193,126,103,62,48,68,46,30,1284,3795,1876,1919,3594,803,649,292,357,111,5014,2581,2433,45.4,136,241,387,451,301,247,282,103,326,437,274,667,425,382,100,57,78,120,3927,1162,737,4890,4832,60,10,27,0,5,7,1,1,2,2,9,11,49,11,18,89,4990,21,71,2,97,2093,1785,1439,346,308,86,49,25,44,1719,1690,29,101,149,65,0,15,44,140,281,1132,0,142,0,46,0,24,271,89,259,90,206,116,252,115,65,51,212,103,13,23,815,191,982,33,945,36,245039,32417,222000,15830,51,0,276,232,586,250,17,27,0,1038,1612,234,401,622,51
1007,"MA","Belchertown","Hampshire","",42.277181,-72.409675,53,2.3,14649,13017,265,14906,19,1.0331,"City",15420,1.0526,15726,1.0735,4,0,0,0,0,0,4,0,1238,11217,301,246,1372,1061,1105,189,455,2407,1551,967,2423,2070,5595,2.62,5558,204,104812,6880,86165,6131,4639,107466,1069,23232,1397,19315,239,9695,121,2579,393,175,206,175,543,476,759,881,1306,578,459,44243,61581,56114,4002,3.06,4165,218,112889,5241,99450,8722,39308,2890,14821,855,326,156,525,174,41.1,40,42,7133,401,573,557,540,381,308,345,461,576,650,669,581,452,240,143,119,68,55,14,7516,405,499,540,480,337,314,420,497,665,716,709,615,457,271,209,153,108,81,40,3691,10958,5230,5728,10514,1994,1501,639,862,190,14906,7265,7641,43.8,702,998,881,1243,1020,398,748,837,866,1442,1425,1065,1159,801,538,424,267,92,11555,3281,2122,13741,13504,199,21,305,8,32,81,20,7,35,18,108,26,235,28,96,385,14264,115,260,4,221,5984,5558,4470,1088,426,0,43,284,374,4638,4536,102,523,156,127,147,19,229,936,841,2962,0,438,0,152,130,65,876,197,1023,205,1459,251,1047,224,611,205,386,180,63,42,389,155,943,103,970,79,271278,16828,263900,10000,100,200,181,474,1992,1373,137,0,13,3293,1746,769,1177,673,92
1008,"MA","Blandford","Hampden","",42.17586,-72.945938,54,1.8,1263,1235,23,1272,154,1.0219,"City",1302,1.0308,1317,1.043,0,0,0,0,0,0,0,7,109,973,15,0,86,84,31,21,83,340,176,89,169,114,503,2.51,548,55,78022,5522,62750,8187,462,73593,126,29106,196,18032,38,7929,3,0,35,7,9,37,55,72,152,59,107,15,35,39545,54138,48333,366,2.9,401,50,82575,8743,71776,8207,33933,3972,1272,89,64,36,47,6,45.8,45.7,45.9,653,26,37,46,42,31,30,32,35,41,50,65,61,65,40,17,14,9,10,2,610,32,28,34,28,32,29,21,41,48,66,54,55,66,26,14,20,5,10,1,253,1010,515,495,976,249,168,92,76,23,1272,674,598,49.9,54,32,57,90,47,69,84,45,72,88,107,111,129,133,97,27,16,14,1080,416,287,1243,1229,4,2,4,0,0,2,0,1,1,0,0,1,12,0,4,17,1246,2,8,3.1,18,675,548,508,40,127,9,0,66,0,670,667,3,5,0,0,0,0,5,28,25,304,0,177,0,9,3,13,99,34,7,7,107,39,82,30,61,29,63,27,40,19,213,51,956,103,825,756,245787,9406,231500,11654,7,6,48,106,224,104,6,7,0,359,1548,130,149,626,32
1009,"MA","Bondsville","Hampden","E",42.211969,-72.341433,1,0,741,0,741,384,268,1.0149,"County",759,1.0238,763,1.0298,0,0,0,0,0,0,0,0,58,351,0,0,0,0,48,50,0,88,122,0,65,0,315,2.35,157,98,63485,35198,59440,58074,133,47491,29,0,115,20503,32,0,0,0,13,11,0,45,0,0,29,31,41,0,0,25518,0,0,194,2.93,72,63,0,0,0,0,26043,10479,384,171,170,0,70,101,39.5,37.2,42.2,386,21,24,21,39,25,25,21,38,25,27,20,32,33,11,6,5,3,5,5,355,13,20,17,20,23,23,24,23,35,29,26,30,17,19,5,5,10,12,4,158,583,291,292,554,120,90,35,55,26,384,194,190,66.2,0,0,0,11,48,36,13,13,11,0,0,41,13,130,29,39,0,0,384,211,198,712,708,4,1,3,0,0,0,1,0,0,0,2,3,11,1,0,15,726,12,9,0,16,194,157,157,0,37,0,0,3,0,157,157,0,0,37,0,0,0,0,0,31,126,0,0,0,0,0,17,0,12,0,12,29,44,16,23,24,29,18,29,0,12,107,93,0,103,0,0,213783,50956,221200,21874,0,0,29,13,86,29,0,0,0,83,1826,13,74,675,32
1010,"MA","Brimfield","Hampden","",42.129477,-72.205302,35,.3,3609,3348,102,3724,16,1.0452,"City",3850,1.0668,3935,1.0903,0,0,0,0,0,0,0,0,356,2963,62,47,310,150,182,56,118,679,507,415,528,515,1429,2.53,1465,84,97098,9524,86523,8493,1208,94221,351,22683,585,19998,111,9886,36,7172,167,18,115,122,89,150,128,283,257,196,107,41318,72879,55195,1000,2.98,1040,82,108994,9493,94444,14483,39077,4193,3694,156,134,36,111,9,44.6,44.2,44.9,1790,78,100,136,127,81,68,78,117,127,190,173,158,129,92,51,43,26,14,2,1819,79,103,120,111,57,71,82,117,173,175,167,168,122,90,58,46,44,24,12,779,2830,1397,1433,2726,641,502,228,274,52,3724,1859,1865,48.1,143,269,137,246,111,129,226,164,224,382,332,324,336,270,179,177,18,57,3046,1037,701,3492,3423,28,10,17,2,0,10,2,0,5,0,0,11,44,9,15,79,3530,4,56,2.7,73,1704,1465,1290,175,239,8,27,130,92,1524,1521,3,23,18,0,38,9,67,121,194,729,28,271,0,55,52,37,235,85,202,77,262,81,279,94,127,52,120,57,139,78,288,102,904,103,743,454,268836,18588,270100,13080,95,7,30,140,568,333,117,0,0,873,1661,251,417,694,104
1011,"MA","Chester","Hampden","",42.281439,-72.975548,32,0,1370,2069,43,1507,177,1.0352,"City",1446,1.0553,1469,1.0726,0,0,0,0,0,0,0,8,147,1173,16,10,160,47,82,23,79,423,228,123,150,67,560,2.45,572,67,81255,7749,75263,12333,471,82635,108,22876,169,17824,52,10990,22,5355,64,27,28,28,39,69,93,116,113,36,23,36136,51515,43500,381,2.96,423,61,89384,8864,76607,20086,30903,2877,1489,102,73,30,60,12,45.6,44.2,46.6,706,24,37,49,54,35,35,36,39,49,74,67,63,52,30,29,15,14,3,1,664,34,36,41,43,19,29,28,35,51,68,67,73,45,26,26,12,16,11,4,281,1089,566,523,1042,233,187,92,95,19,1507,790,717,39.9,108,93,80,82,51,113,110,121,72,99,87,211,87,66,50,24,28,25,1195,280,193,1345,1338,0,0,11,0,0,0,0,2,0,0,9,5,7,0,1,13,1357,0,14,3.1,13,694,572,472,100,122,17,9,42,7,603,595,8,51,17,3,13,0,11,84,50,292,3,125,0,7,1,12,98,34,45,23,89,34,58,18,45,28,25,17,33,20,300,48,913,142,900,155,298312,88513,202600,20536,3,40,72,116,140,69,25,4,3,322,1443,77,150,540,18
1012,"MA","Chesterfield","Hampshire","",42.391577,-72.841613,13,.3,661,523,50,531,102,1.0295,"City",690,1.0442,698,1.0556,0,0,0,0,0,0,0,0,38,449,9,7,40,19,19,4,18,116,64,40,80,69,283,2.34,233,37,84295,8911,70114,14194,189,81580,37,24011,76,21230,4,0,0,0,16,15,8,19,15,30,40,39,29,21,17,34000,48125,42188,185,2.84,144,30,101351,13678,84286,10464,37778,6432,531,60,33,10,47,3,47.4,47.4,47.3,334,12,14,26,21,14,23,12,17,14,29,40,36,32,14,10,5,5,7,3,327,10,18,18,19,11,12,21,15,19,40,31,34,33,14,8,9,9,5,1,120,541,270,271,515,128,90,44,46,16,531,246,285,43.2,30,23,29,23,35,28,38,37,34,11,27,74,40,58,18,9,11,6,435,142,102,644,638,2,1,5,0,2,3,0,0,0,0,0,3,4,0,3,10,651,1,8,.9,10,322,233,206,27,89,0,14,60,0,311,295,16,0,0,11,0,0,2,45,6,106,0,63,0,11,0,17,31,14,13,10,39,14,23,12,48,26,38,16,10,8,120,41,1148,472,1203,255,283534,31417,250000,22741,10,8,3,30,81,55,12,7,0,128,1382,41,78,590,8
